"ContainerNumber","ScanTime","PicNumber","XmlFile"
"TGBU2089707","12/19/2025 4:12:59 PM","23301FS01202512190070","C:\NickScan\FS6000\Archive\2025\1219\0070\23301FS01202512190070.xml"
"MRKU8643814","12/19/2025 4:14:35 PM","23301FS01202512190071","C:\NickScan\FS6000\Archive\2025\1219\0071\23301FS01202512190071.xml"
"CSNU2417781","12/19/2025 4:20:24 PM","23301FS01202512190072","C:\NickScan\FS6000\Archive\2025\1219\0072\23301FS01202512190072.xml"
"CSNU1269479","12/19/2025 4:24:02 PM","23301FS01202512190073","C:\NickScan\FS6000\Archive\2025\1219\0073\23301FS01202512190073.xml"
"MRSU0271288","12/19/2025 4:44:47 PM","23301FS01202512190076","C:\NickScan\FS6000\Archive\2025\1219\0076\23301FS01202512190076.xml"
"OOCU0402720","12/19/2025 4:55:54 PM","23301FS01202512190077","C:\NickScan\FS6000\Archive\2025\1219\0077\23301FS01202512190077.xml"
"MSDU6708316","12/20/2025 1:42:54 AM","23301FS01202512200004","C:\NickScan\FS6000\Archive\2025\1220\0004\23301FS01202512200004.xml"
"GESU6802311","12/20/2025 1:46:27 AM","23301FS01202512200005","C:\NickScan\FS6000\Archive\2025\1220\0005\23301FS01202512200005.xml"
"MEDU8832993","12/20/2025 1:49:54 AM","23301FS01202512200006","C:\NickScan\FS6000\Archive\2025\1220\0006\23301FS01202512200006.xml"
"TLLU5057900","12/20/2025 11:40:30 AM","23301FS01202512200020","C:\NickScan\FS6000\Archive\2025\1220\0020\23301FS01202512200020.xml"
"OOLU1905156","12/20/2025 1:56:37 PM","23301FS01202512200024","C:\NickScan\FS6000\Archive\2025\1220\0024\23301FS01202512200024.xml"
"FCIU4807562","12/20/2025 2:01:55 PM","23301FS01202512200025","C:\NickScan\FS6000\Archive\2025\1220\0025\23301FS01202512200025.xml"
"OOCU0523216","12/20/2025 2:01:55 PM","23301FS01202512200025","C:\NickScan\FS6000\Archive\2025\1220\0025\23301FS01202512200025.xml"
"OOCU0929460","12/20/2025 2:05:37 PM","23301FS01202512200026","C:\NickScan\FS6000\Archive\2025\1220\0026\23301FS01202512200026.xml"
"CSNU2457552","12/20/2025 2:09:45 PM","23301FS01202512200027","C:\NickScan\FS6000\Archive\2025\1220\0027\23301FS01202512200027.xml"
"OOCU0982758","12/20/2025 2:13:04 PM","23301FS01202512200028","C:\NickScan\FS6000\Archive\2025\1220\0028\23301FS01202512200028.xml"
"OOCU0721630","12/20/2025 3:01:56 PM","23301FS01202512200030","C:\NickScan\FS6000\Archive\2025\1220\0030\23301FS01202512200030.xml"
"CSNU2022950","12/20/2025 3:07:04 PM","23301FS01202512200031","C:\NickScan\FS6000\Archive\2025\1220\0031\23301FS01202512200031.xml"
"TGBU7815192","12/20/2025 7:45:07 PM","23301FS01202512200043","C:\NickScan\FS6000\Archive\2025\1220\0043\23301FS01202512200043.xml"
"MRKU8074338","12/21/2025 7:13:01 AM","23301FS01202512210020","C:\NickScan\FS6000\Archive\2025\1221\0020\23301FS01202512210020.xml"
"MSDU5793355","12/22/2025 1:14:40 AM","23301FS01202512220005","C:\NickScan\FS6000\Archive\2025\1222\0005\23301FS01202512220005.xml"
"FFAU1911386","12/22/2025 10:39:53 AM","23301FS01202512220025","C:\NickScan\FS6000\Archive\2025\1222\0025\23301FS01202512220025.xml"
"TCNU7646282","12/22/2025 10:56:27 AM","23301FS01202512220027","C:\NickScan\FS6000\Archive\2025\1222\0027\23301FS01202512220027.xml"
"MEDU7474318","12/22/2025 11:06:35 AM","23301FS01202512220029","C:\NickScan\FS6000\Archive\2025\1222\0029\23301FS01202512220029.xml"
"MSNU5560332","12/22/2025 11:10:46 AM","23301FS01202512220030","C:\NickScan\FS6000\Archive\2025\1222\0030\23301FS01202512220030.xml"
"MSCU5271594","12/22/2025 11:59:29 AM","23301FS01202512220036","C:\NickScan\FS6000\Archive\2025\1222\0036\23301FS01202512220036.xml"
"MSDU1952058","12/22/2025 12:38:32 PM","23301FS01202512220038","C:\NickScan\FS6000\Archive\2025\1222\0038\23301FS01202512220038.xml"
"MEDU4728152","12/22/2025 12:52:21 PM","23301FS01202512220041","C:\NickScan\FS6000\Archive\2025\1222\0041\23301FS01202512220041.xml"
"MSNU3639628","12/22/2025 1:05:23 PM","23301FS01202512220043","C:\NickScan\FS6000\Archive\2025\1222\0043\23301FS01202512220043.xml"
"TGBU6433770","12/22/2025 1:39:02 PM","23301FS01202512220048","C:\NickScan\FS6000\Archive\2025\1222\0048\23301FS01202512220048.xml"
"MSKU5684811","12/22/2025 2:53:33 PM","23301FS01202512220054","C:\NickScan\FS6000\Archive\2025\1222\0054\23301FS01202512220054.xml"
"TGHU1638614","12/22/2025 2:58:14 PM","23301FS01202512220055","C:\NickScan\FS6000\Archive\2025\1222\0055\23301FS01202512220055.xml"
"MSNU2250020","12/22/2025 3:36:48 PM","23301FS01202512220061","C:\NickScan\FS6000\Archive\2025\1222\0061\23301FS01202512220061.xml"
"FCIU3555471","12/22/2025 4:44:20 PM","23301FS01202512220077","C:\NickScan\FS6000\Archive\2025\1222\0077\23301FS01202512220077.xml"
"TCNU2809730","12/22/2025 8:21:25 PM","23301FS01202512220117","C:\NickScan\FS6000\Archive\2025\1222\0117\23301FS01202512220117.xml"
"TLLU2422300","12/22/2025 8:32:18 PM","23301FS01202512220119","C:\NickScan\FS6000\Archive\2025\1222\0119\23301FS01202512220119.xml"
"MSDU2138160","12/22/2025 9:25:24 PM","23301FS01202512220128","C:\NickScan\FS6000\Archive\2025\1222\0128\23301FS01202512220128.xml"
"MSBU3456614","12/23/2025 12:28:33 AM","23301FS01202512230003","C:\NickScan\FS6000\Archive\2025\1223\0003\23301FS01202512230003.xml"
"TGCU0135725","12/23/2025 12:58:08 AM","23301FS01202512230004","C:\NickScan\FS6000\Archive\2025\1223\0004\23301FS01202512230004.xml"
